game,winner,plies,final_board
883,X,9,XOOOOXXXX
884,draw,9,OXOOXXXOX
885,X,9,OXXXXOXOO
886,X,7,.XOXX.OXO
887,O,8,OXXOOOX.X
888,draw,9,OXOXXOXOX
889,X,7,OXXOX.X.O
890,X,5,O..XXX..O
891,X,9,OXOXXXOOX
892,X,7,XOXX.OX.O
893,draw,9,OOXXXOOXX
894,O,8,OOOXX.OXX
895,X,9,XXOXXOOOX
896,draw,9,XXOOOXXOX
897,X,5,OO.XXX...
898,X,7,XXOOXO..X
899,O,8,O.OXXOXXO
900,X,5,XOO.X...X
901,X,7,OO.XXXOX.
902,O,6,X.OXO.O.X
903,X,5,O..XXXO..
904,X,7,OXX.OXO.X
905,O,8,OOOX.XXXO
906,X,9,XXOOXOOXX
907,O,6,..OXXO.XO
908,O,6,.XOXOXO..
909,O,8,XXO.OOOXX
910,draw,9,OXOOXXXOX
911,draw,9,OOXXXOOXX
912,O,8,XXOXXOO.O
913,X,5,..OO..XXX
914,X,7,XXX.OOX.O
915,X,9,XXXOOXXOO
916,draw,9,OXOOXXXOX
917,O,8,OOOXXOX.X
918,draw,9,OXOOXXXOX
919,O,8,OO.XOXXXO
920,X,7,..XXOXOOX
921,X,7,OOXXOX..X
922,X,7,OO.OX.XXX
923,draw,9,OXXXXOOOX
924,O,6,O.XXO.X.O
925,X,9,OXXOXOXOX
926,X,9,XOXXXOOOX
927,O,8,XXOXX.OOO
928,O,8,X.OOXOXXO
929,X,9,XXOXXOOOX
930,X,5,XXX.O.O..
931,X,7,XXX.O.OXO
932,X,7,XXXO.OXO.
933,O,8,XXOOO.OXX
934,O,8,XXOXX.OOO
935,X,9,XOXXOOXXO
936,X,7,XXXXOO..O
937,O,8,XOXXOXOO.
938,X,7,XXXXOOO..
939,X,5,XXXOO....
940,O,6,X.XOOO..X
941,X,7,XXXX.OOO.
942,X,7,XXXOX.O.O
943,draw,9,XOXOOXXXO
944,X,7,X.XOOXO.X
945,X,7,O.X.XXOOX
946,X,5,XXX.O..O.
947,X,7,O.XXXXOO.
948,O,8,.XXOOOXXO
949,X,9,OXXOXOXXO
950,X,9,XXXXOOOOX
951,X,7,XOXX..XOO
952,X,7,.OXOXX.OX
953,O,6,X.XOOO..X
954,O,8,OXXXOOX.O
955,X,9,XOOOXXOXX
956,X,7,XOOXO.X.X
957,X,9,XXOOXXOOX
958,X,7,XXX.OXO.O
959,X,9,XXXXOOOOX
960,X,9,XXXOOXOOX
961,O,8,OXXOOXX.O
962,draw,9,XXOOXXXOO
963,draw,9,XOXXOOOXX
964,O,8,XOXXO.OOX
965,O,8,OXXXOOX.O
966,O,8,XXO.XXOOO
967,O,8,XOXXO.OOX
968,X,7,O.XXXXO.O
969,O,6,..OXOXO.X
970,O,6,OOOX..X.X
971,X,7,.OXXXXO.O
972,draw,9,XOXOXXOXO
973,O,6,O.XOXXO..
974,O,8,XXOOOOX.X
975,X,9,XXOXXOOOX
976,X,7,XX.OXOOX.
977,X,7,OXX.X.OXO
978,draw,9,OXOXXOXOX
979,X,7,OX.OXX.XO
980,X,5,.X..X.OXO
981,draw,9,OXXXOOOXX
982,X,7,OXOOXX.X.
983,draw,9,OXXXOOXOX
984,X,9,OXOXXXOOX
985,draw,9,OXOXXOXOX
986,O,6,X..OOOX.X
987,X,7,.XOOX.OXX
988,draw,9,OXXXOOXOX
989,X,5,OX..X..XO
990,O,6,OXX.OX..O
991,X,7,XXOOX.O.X
992,X,7,OX.XXOOX.
993,X,9,OXOXXOOXX
994,X,9,OXOOXXXXO
995,X,5,XXXO.O...
996,O,8,XOXXOO.OX
997,O,8,OX.OXXOOX
998,X,5,O..XXXO..
999,O,8,OXXOOX.XO
1000,O,6,X.XOOO..X
1001,X,5,O..XXXO..
1002,O,8,XOXXOXOO.
1003,draw,9,XOXOXXOXO
1004,O,8,OOXOXXOX.
1005,X,5,.X..XO.XO
1006,X,7,OX.OO.XXX
1007,O,6,OX.XO..XO
1008,draw,9,OXXXOOOXX
1009,draw,9,OXXXOOOXX
1010,draw,9,OXXXXOOOX
1011,O,8,OXOXO.OXX
1012,O,8,OOO.XXXOX
1013,X,5,XXXO.O...
1014,X,5,XXXO.O...
1015,X,7,XOXX.OXO.
1016,O,8,O.XXOOXXO
1017,X,9,OOXXXOXXO
1018,O,6,XO.XO..OX
1019,X,7,.XOXXXOO.
1020,X,7,.OXX.XOOX
1021,X,7,XXXO.OX.O
1022,X,5,XXXO.O...
1023,draw,9,OXXXOOXOX
1024,draw,9,OXXXXOOOX
1025,X,7,O.X.XXOOX
1026,X,7,XOXXO.X.O
1027,X,7,XOXXOOX..
1028,draw,9,OOXXXOOXX
1029,X,9,OOXXOXOXX
1030,X,7,OOXXXX.O.
1031,draw,9,OOXXXOOXX
1032,draw,9,OXXXXOOOX
1033,draw,9,OOXXXOOXX
1034,O,8,OXXOXOO.X
1035,X,7,.OXXXXOO.
1036,X,5,XXXOO....
1037,draw,9,XOXXOOOXX
1038,X,7,O.XOOX.XX
1039,O,6,O.X.OX.XO
1040,X,7,.OOXXXXO.
1041,O,6,O.XO.XOX.
1042,O,6,.XOXOXO..
1043,X,5,...XXX.OO
1044,X,7,OO..OXXXX
1045,draw,9,XOOOXXXXO
1046,X,9,XOOOXXOXX
1047,O,8,OXO.OXOXX
1048,X,7,X.O.XXOOX
1049,X,9,OXOOXXXXO
1050,X,7,.OXXXXOO.
1051,O,8,OOXOX.OXX
1052,draw,9,XOXOXXOXO
1053,X,5,.OX.X.X.O
1054,X,5,.OX.X.X.O
1055,X,7,OO.OX.XXX
1056,X,5,O..XXXO..
1057,O,6,OX.OXXO..
1058,X,9,XOXOXXOOX
1059,draw,9,XOXOXXOXO
1060,O,8,O.OOXXOXX
1061,X,9,OXXXXOOXO
1062,draw,9,OXXXXOOOX
1063,O,8,O.OOXXOXX
1064,O,8,XOO.XOXXO
1065,X,5,XO.X..XO.
1066,X,5,O.O...XXX
1067,X,7,O.XOOXX.X
1068,O,8,OO.XOXXOX
1069,X,5,O.O...XXX
1070,X,7,O.X.OXXOX
1071,draw,9,OXOXXOXOX
1072,X,7,O.OO.XXXX
1073,X,7,XOO.O.XXX
1074,draw,9,OXXXOOOXX
1075,X,7,O.X.XOXOX
1076,X,5,OO....XXX
1077,X,9,OXXXXOOXO
1078,X,5,X..XOOX..
1079,draw,9,XOOOXXXXO
1080,O,8,XXOOOOX.X
1081,X,7,X.OOO.XXX
1082,draw,9,OXXXOOXOX
1083,O,6,..OX.OXXO
1084,O,6,O.XOXXO..
1085,X,7,XOOXO.X.X
1086,X,7,XOO.X.XOX
1087,X,9,XXOOXOXOX
1088,X,5,..O..OXXX
1089,X,5,XO.X..XO.
1090,X,5,XO.XO.X..
1091,X,9,OXXOXXXOO
1092,O,6,X..OOOX.X
1093,O,8,X.OOXOXXO
1094,X,9,OOXXXOXXO
1095,O,6,X..OOOXX.
1096,O,6,.XXOOOX..
1097,X,5,.OX.OX..X
1098,O,8,OXXOOOXX.
1099,X,5,XO.X..X.O
1100,X,9,OXOXXOOXX
1101,X,7,OXOXXX.O.
1102,X,5,X..OX.O.X
1103,X,7,OXOXX.OX.
1104,O,8,O.XOXOOXX
1105,X,7,..XOOXXOX
1106,X,9,OXOXOOXXX
1107,O,8,OXOXOXX.O
1108,O,8,OXOXOX.XO
1109,X,9,OXOXOOXXX
1110,X,7,O.XXX.XOO
1111,O,8,XXOXOOOX.
1112,X,9,OXOXXXXOO
1113,X,5,..XOXOX..
1114,O,6,X.OXOXO..
1115,X,5,O.XOX.X..
1116,X,7,XXXXOO..O
1117,draw,9,OXXXOOXOX
1118,draw,9,OOXXXOOXX
1119,X,7,O.XXXX.OO
1120,X,7,X.XOXOX.O
1121,draw,9,XOXXOXOXO
1122,X,7,OXXOX.X.O
1123,X,7,XXX..OXOO
1124,O,8,.OXXOXXOO
1125,draw,9,XOXXOXOXO
1126,draw,9,XOXXOOOXX
1127,X,7,OXX.OX.OX
1128,O,8,X.XXOXOOO
1129,X,7,XXXXO..OO
1130,O,6,OXX.OX..O
1131,X,7,X.OOXOX.X
1132,O,8,XXO.XOXOO
1133,X,7,X.OOXOX.X
1134,O,6,X.O.XOX.O
1135,O,8,XOXXOXOO.
1136,O,6,X.O.XOX.O
1137,O,8,XOOXOXO.X
1138,X,9,XOOXXXXOO
1139,X,9,XOOXXXOXO
1140,O,8,.OOXOXXOX
1141,X,7,XOOXX..OX
1142,X,7,XXX.OOXO.
1143,X,9,XOOOXXOXX
1144,X,7,X.O.XXOOX
1145,draw,9,XOXOXXOXO
1146,X,7,XOOXXX..O
1147,X,7,X.OXX.OOX
1148,X,5,XXX.O...O
1149,X,7,XXO.X.OXO
1150,O,6,X.OXXO..O
1151,X,7,XOOO..XXX
1152,draw,9,XOOOXXXXO
1153,X,7,XXOXOOX..
1154,O,8,XXOXXO.OO
1155,X,5,XXXO.O...
1156,X,9,XOOOOXXXX
1157,O,8,XXOOOXO.X
1158,draw,9,XOOOXXXXO
1159,X,5,XOO.X...X
1160,X,7,XXXOO..XO
1161,X,5,O.X.XOX..
1162,X,5,XXX.O...O
1163,O,6,.OX.O.XOX
1164,draw,9,XXOOXXXOO
1165,O,6,OXX.OX..O
1166,O,8,XO.XOXOOX
1167,O,8,OXXXOXO.O
1168,X,5,X.O.XO..X
1169,O,6,X.O.XOX.O
1170,X,9,XXOXOXXOO
1171,O,8,X.XOOOXXO
1172,X,9,XXXOOXOXO
1173,draw,9,XOOOXXXXO
1174,O,8,XXOOOO.XX
1175,draw,9,OXXXOOOXX
1176,X,7,X.OXOXX.O
1177,O,6,X.O.OXO.X
1178,O,8,XXO.XXOOO
1179,O,8,.OXXOOXOX
1180,draw,9,OXXXOOXOX
1181,O,8,XXOXXO.OO
1182,X,9,OXOOXOXXX
1183,O,8,OXXXO.OXO
1184,X,7,XOXOX.XO.
1185,draw,9,OXOXOXXOX
1186,X,7,OX..OOXXX
1187,draw,9,OXOXOXXOX
1188,X,5,XXXO..O..
1189,X,7,..XOXXXOO
1190,O,6,XX..X.OOO
1191,X,9,OOXXXOXXO
1192,X,5,..O..OXXX
1193,O,8,O.XOOXXXO
1194,O,8,XXOO.OXXO
1195,X,7,X..XOOXOX
1196,X,7,X.O.XOXOX
1197,X,9,XOOOOXXXX
1198,draw,9,OXOXXOXOX
1199,X,7,XO..XXOOX
1200,X,5,..O..OXXX
1201,draw,9,OXXXOOXOX
1202,X,7,O.X.XOXOX
1203,X,7,.XX.XOXOO
1204,X,7,.OX.XOXOX
1205,O,6,OOOX..X.X
1206,O,8,XOO.OXXOX
1207,X,5,X..XOOX..
1208,draw,9,OXOXOXXOX
1209,O,6,OOOX..X.X
1210,draw,9,OXOXOXXOX
1211,X,5,XXX.O.O..
1212,X,9,OXOOOXXXX
1213,X,7,XXOOX.O.X
1214,X,7,OXO.XOXX.
1215,draw,9,XXOOOXXOX
1216,O,8,XXOXXOO.O
1217,X,5,.X.OXO.X.
1218,X,9,OXOXXXOOX
1219,draw,9,OXXXXOOOX
1220,X,7,OX..XOOXX
1221,X,7,.XOXXXOO.
1222,O,8,OX.OXXOOX
1223,draw,9,OXXXXOOOX
1224,X,5,.X..XO.XO
1225,draw,9,OXXXXOOOX
1226,draw,9,OXOXXOXOX
1227,X,9,XXOOXXOOX
1228,X,5,X.OXO.X..
1229,O,8,OXXOX.OOX
1230,O,8,XXOOOXO.X
1231,X,7,.XO.OOXXX
1232,X,5,X..OX..OX
1233,X,7,OXO.O.XXX
1234,O,8,OXO.OXXXO
1235,O,8,O.OXOXXXO
1236,X,7,.XOXX.OXO
1237,X,9,XOOXXXOXO
1238,X,5,X..OXO..X
1239,X,7,XOOOX..XX
1240,O,8,OOOOXXX.X
1241,X,5,X..OX.O.X
1242,O,6,O..OXXO.X
1243,X,7,X.OOX.OXX
1244,X,7,.OXOXXO.X
1245,O,6,OXXOX.O..
1246,X,5,X..OX..OX
1247,X,5,X..OXO..X
1248,X,7,XOOOX.X.X
1249,X,5,O..XXX.O.
1250,X,9,XOXOXOXXO
1251,X,7,.OXXXX.OO
1252,draw,9,XOXXXOOXO
1253,X,9,OOXXXXOXO
1254,O,8,XXOOOOXX.
1255,X,9,XOXOOXOXX
1256,X,7,OXOOX..XX
1257,X,7,X..XXOOOX
1258,X,9,XXOXOOXOX
1259,X,7,.X.OXOXXO
1260,O,8,XOOXOX.OX
1261,O,6,OOO.XX.X.
1262,O,6,OOO.XX.X.
1263,O,8,OXOOXXO.X
1264,X,5,X.OX..X.O
1265,O,8,XOOXOXO.X
1266,O,6,.XOX.OX.O
1267,O,8,XXO.XXOOO
1268,draw,9,OXOOXXXOX
1269,X,9,XOOXXXOXO
1270,O,6,X.OXXO..O
1271,X,7,XOOOX.X.X
1272,draw,9,XOXXOOOXX
1273,X,7,OXO.XOXX.
1274,X,7,XXO.XOO.X
1275,O,6,OOOXX...X
1276,draw,9,OXOOXXXOX
1277,O,6,XX..X.OOO
1278,draw,9,OXOOXXXOX
1279,O,8,XXO.OOXXO
1280,O,6,.XOXO.OX.
1281,X,7,XXOOX.O.X
1282,X,7,.XOXXXOO.
1283,X,9,XOOXXXOXO
1284,X,5,.XO.XO.X.
1285,O,6,X.O.OXO.X
1286,X,5,.XO.X..XO
1287,X,7,XXXOX.O.O
1288,O,8,OXXXO.OXO
1289,X,7,OXOOX..XX
1290,X,9,OOXOXXXXO
1291,X,7,.OOXXXOX.
1292,X,7,XXOOXO.X.
1293,X,7,.OXXXXOO.
1294,draw,9,OOXXXOOXX
1295,X,7,.XO.XOOXX
1296,X,5,XO..XO..X
1297,X,5,X...XOO.X
1298,X,9,XXOOXXOXO
1299,O,8,OXOXOXX.O
1300,O,6,O.XOXXO..
1301,X,9,OXOXXXOOX
1302,X,5,OO.XXX...
1303,O,8,OOOOXXXX.
1304,O,8,.XOOOXOXX
1305,O,6,O.XOXXO..
1306,O,8,XXOOO.OXX
1307,O,6,..OX.OXXO
1308,X,7,OXOOX.XX.
1309,X,5,O..XXX..O
1310,X,5,OOX.X.X..
1311,X,9,OXXOXXXOO
1312,O,6,.X.XX.OOO
1313,X,7,OO.XXXOX.
1314,X,5,...XXXOO.
1315,draw,9,OXOOXXXOX
1316,O,6,OOO.X.X.X
1317,draw,9,OXXXXOOOX
1318,O,8,O.OXXOXXO
1319,X,5,O.XOX.X..
1320,draw,9,OXOOXXXOX
1321,O,6,O.XOXXO..
1322,X,7,X.OXOXX.O
1323,O,8,XOOXOXO.X
1324,X,9,XOOXXOOXX
1325,draw,9,OXOXOXXOX
1326,O,8,.XOXOOXXO
1327,O,6,XX...XOOO
1328,X,9,XXOOXXOOX
1329,O,8,OOOXX.OXX
1330,draw,9,OXOXXOXOX
1331,draw,9,OXOXXOXOX
1332,O,8,OOO.XXXXO
1333,X,7,XOOOX.X.X
1334,O,8,XOO.OXOXX
1335,X,7,XOOXO.X.X
1336,X,7,XXOOX.O.X
1337,X,5,.X..XO.XO
1338,X,7,X.OXO.XOX
1339,X,7,XOO.X.XOX
1340,draw,9,OXOXXOXOX
1341,X,9,XOOXXOXOX
1342,O,8,OOOXX.XOX
1343,X,7,XOO.X.XOX
1344,X,7,X.OXO.XOX
1345,X,7,OXX.XOOX.
1346,draw,9,XXOOOXXOX
1347,X,7,X.OOXOX.X
1348,X,7,XXOXO.X.O
1349,draw,9,XXOOOXXOX
1350,draw,9,OXXXOOOXX
1351,X,9,XXOOXOXOX
1352,X,7,XOO.XOX.X
1353,X,7,XO.XXOX.O
1354,X,9,OXOOOXXXX
1355,X,5,....OOXXX
1356,X,5,X.OX..X.O
1357,draw,9,OXOXOXXOX
1358,X,7,X.OXO.XOX
1359,draw,9,OXXXXOOOX
1360,O,8,O.XXOXXOO
1361,O,8,XX.OOOXOX
1362,O,8,OXXXO.XOO
1363,X,7,X..XOOXXO
1364,X,5,.X..XO.XO
1365,O,8,X.XOOOOXX
1366,X,7,XXO.X.OXO
1367,O,8,XXOXO.OOX
1368,draw,9,XOXXOOOXX
1369,X,9,XXXOOXOXO
1370,X,7,XXX.OO.XO
1371,O,6,OOO.X.XX.
1372,X,9,OOXXXOXXO
1373,X,9,XOOXXOOXX
1374,O,6,O.XOXXO..
1375,O,8,OXXOOXOX.
1376,X,7,X.OXX.OOX
1377,X,7,XXX.O.OXO
1378,X,7,X..XXOXOO
1379,O,8,X.OXXOOXO
1380,X,5,XXX.O..O.
1381,O,8,X.XOOOXOX
1382,draw,9,XOXXOXOXO
1383,X,5,O.X.X.XO.
1384,O,8,X.OXXOOXO
1385,X,5,O.X.X.XO.
1386,X,9,OXXXXOXOO
1387,X,7,XOOX.OX.X
1388,O,8,XOO.OXXOX
1389,X,5,..XOX.XO.
1390,X,7,OO.XXX.XO
1391,X,5,..XOX.XO.
1392,X,7,X.OOO.XXX
1393,X,5,XO.XO.X..
1394,O,8,XOX.OOXOX
1395,O,8,OOXXOXXO.
1396,O,8,OOOXX.OXX
1397,draw,9,XXOOOXXOX
1398,X,5,X.OXO.X..
1399,O,6,.OXXO..OX
1400,draw,9,OXOXOXXOX
1401,draw,9,XXOOXXXOO
1402,X,5,X.OX..XO.
1403,X,7,XXXOO.XO.
1404,X,5,X..X..XOO
1405,draw,9,XXOOOXXOX
1406,X,5,XO.X..XO.
1407,X,7,XXX.OOXO.
1408,O,8,XOXOOXXO.
1409,X,7,..XXXOXOO
1410,X,5,XO.XO.X..
1411,draw,9,OOXXXOOXX
1412,X,7,..OOXOXXX
1413,O,8,O.XXOOXXO
1414,O,8,XO.OOXXOX
1415,draw,9,OXOOXXXOX
1416,X,7,O.XOOXX.X
1417,draw,9,XOXOOXXXO
1418,X,7,O..OOXXXX
1419,O,6,X.O.O.OXX
1420,X,7,O.XOX.XXO
1421,O,8,OXXXOOX.O
1422,O,6,OXX.O.X.O
1423,X,7,OXX.XOOX.
1424,O,8,OOOOXX.XX
1425,O,8,XOXOOO.XX
1426,O,8,XXO.OOOXX
1427,O,8,OOOXX.XXO
1428,X,5,XXX...OO.
1429,X,5,O.X..XO.X
1430,O,6,.XO.O.OXX
1431,X,5,XXX...OO.
1432,X,5,O..XXXO..
1433,X,7,XX.OX.OXO
1434,draw,9,XXOOOXXXO
1435,draw,9,XXOOOXXOX
1436,X,5,XXX.O.O..
1437,X,7,XXXOO.O.X
1438,X,7,XXO.XOOX.
1439,X,5,XXX.O.O..
1440,O,8,OXOXO.OXX
1441,draw,9,OXOXXOXOX
1442,draw,9,OXXXOOXOX
1443,draw,9,OXOXOXXOX
1444,draw,9,OXXXOOXOX
1445,X,5,XXX.O.O..
1446,O,6,OX..O.XXO
1447,X,5,XXX.O.O..
1448,X,7,XXX.OOO.X
1449,X,7,XOXO.XO.X
1450,X,5,XXXOO....
1451,O,6,X.OXO.O.X
1452,draw,9,OXXXOOOXX
1453,O,8,OXOO.XOXX
1454,O,6,OXXOX.O..
1455,X,9,OOXXOOXXX
1456,X,9,OXOXOOXXX
1457,draw,9,OXOOXXXOX
1458,X,9,OXXXXOXOO
1459,X,5,.OX.OX..X
1460,draw,9,XXOOOXXOX
1461,X,5,XXXOO....
1462,X,7,XOXXOOX..
1463,draw,9,OXXXOOOXX
1464,O,8,O.XXOXXOO
1465,O,6,O.XOX.OX.
1466,O,8,OXXOX.OOX
1467,O,6,O.XXOX..O
1468,O,6,.O.XO.XOX
1469,O,8,XOXX.XOOO
1470,O,6,OOOXX...X
1471,X,5,.O.O..XXX
1472,O,8,O.OXXOXXO
1473,X,9,OXXXXOOXO
1474,draw,9,OOXXXOOXX
1475,X,5,O.X.XOX..
1476,X,5,O.X.XOX..
1477,X,7,O.XOXXX.O
1478,X,5,.OX.OX..X
1479,O,8,OXOXXOX.O
1480,draw,9,OOXXXOOXX
1481,O,8,OXXXO.OXO
1482,draw,9,OOXXXOOXX
1483,X,7,..XXOXOOX
1484,O,6,OXXOX.O..
1485,X,5,O..XXX.O.
1486,X,5,O.XOX.X..
1487,X,9,OOXXXXOXO
1488,draw,9,OOXXXOOXX
1489,X,5,..X.OX.OX
1490,X,7,O.XXXXOO.
1491,X,5,O.X.OX..X
1492,draw,9,OOXXXOOXX
1493,O,8,O.OXOXOXX
1494,X,9,XOOXOOXXX
1495,X,7,O.XOX.XOX
1496,X,9,OXOOOXXXX
1497,O,6,X..OOOX.X
1498,draw,9,OXXXXOOOX
1499,X,7,OOXOX.X.X
1500,X,9,XXXXOOOOX
1501,X,7,XXOOXO..X
1502,X,7,X.XOOX.OX
1503,draw,9,OXOXXOXOX
1504,X,7,O.XOX.XOX
1505,O,6,..OXOXO.X
1506,X,5,.OX.OX..X
1507,O,6,.XO.OXO.X
1508,draw,9,OXOOXXXOX
1509,X,9,XOOXOXXXO
1510,draw,9,OXXXXOOOX
1511,O,8,OOXOX.OXX
1512,draw,9,XXOOOXXOX
1513,X,7,.OXXOXO.X
1514,X,5,..XOOX..X
1515,O,6,..OXOXO.X
1516,X,7,.XXOOXO.X
1517,O,6,OXXOX.O..
1518,O,6,.O.XOX.OX
1519,X,7,..XOOXXOX
1520,X,7,X.OOXOX.X
1521,O,8,X.OXOOOXX
1522,O,6,.XO.OXO.X
1523,draw,9,OXXXXOOOX
1524,X,7,OX..XOOXX
1525,X,7,XOOX.OX.X
1526,X,9,XXXOOXXOO
1527,draw,9,OOXXXOOXX
1528,X,9,OOXOOXXXX
1529,O,8,OXXOOXOX.
1530,draw,9,OXXXXOOOX
1531,X,5,O..XXX.O.
1532,X,5,O.X.XOX..
1533,X,7,..OXXXOXO
1534,O,8,.OXXOXXOO
1535,draw,9,OOXXXOOXX
1536,X,9,OOXXXXOOX
1537,draw,9,OXXXXOOOX
1538,draw,9,OXXXXOOOX
1539,X,9,OOXXXXOXO
1540,draw,9,OOXXXOOXX
1541,draw,9,OOXXXOOXX
1542,draw,9,OXXXXOOOX
1543,X,9,OXXXXOOXO
1544,X,9,OOXXXOXXO
1545,O,8,OOX.OXXXO
1546,X,7,O.X.XXOOX
1547,draw,9,OXXXOOXOX
1548,X,7,OXOXX.OX.
1549,X,7,OOXXXX.O.
1550,O,6,O.XOXXO..
1551,X,7,OXO.XXOX.
1552,X,9,OXXXXOOXO
1553,draw,9,OXOXXOXOX
1554,draw,9,OXOXXOXOX
1555,X,9,OOXXXXOXO
1556,X,7,OXOXXX.O.
1557,X,9,OXOXXOOXX
1558,X,9,OXXXXOXOO
1559,O,6,X.O.OXO.X
1560,X,5,.X.OXO.X.
1561,O,8,OXOXXOX.O
1562,X,7,OXOXXO.X.
1563,X,9,OXOXXOOXX
1564,X,7,OO.XXX.XO
1565,X,9,OXXXXOOXO
1566,X,5,OO.XXX...
1567,X,7,OOX.XOX.X
1568,O,8,OOOOXXXX.
1569,O,6,.O..OXXOX
1570,draw,9,OXOXXOXOX
1571,X,7,O.O.XOXXX
1572,X,7,OXOXXX.O.
1573,X,7,OXOXXX.O.
1574,draw,9,OXOXXOXOX
1575,X,9,OXOXXOOXX
1576,O,8,OXXXX.OOO
1577,X,5,O..XXX.O.
1578,X,9,OXXXXOXOO
1579,X,9,OXOXXOOXX
1580,draw,9,XOXXXOOXO
1581,draw,9,OXOOXXXOX
1582,X,7,O.XXXOXO.
1583,O,8,OOOXXO.XX
1584,draw,9,OXOXXOXOX
1585,draw,9,XOXXOXOXO
1586,X,7,OO.XXXOX.
1587,draw,9,OXOXXOXOX
1588,X,9,XXOOXXOXO
1589,X,5,O..XXX..O
1590,X,7,O.XXXXOO.
1591,draw,9,XOXXXOOXO
1592,O,8,OOX.OXXXO
1593,O,8,X.OXXOOXO
1594,O,8,OX.XOXXOO
1595,X,7,O.OXXX.XO
1596,X,5,...XXXO.O
1597,O,8,X.XOXXOOO
1598,X,9,XOOXOXXXO
1599,X,5,X.OX..XO.
1600,draw,9,OXXXXOOOX
1601,O,8,X.XOXXOOO
1602,draw,9,XOXOOXXXO
1603,O,8,XX.XXOOOO
1604,X,7,XXOXO.XO.
1605,draw,9,XXOOXXXOO
1606,X,7,XOO..OXXX
1607,O,8,XOOXO.OXX
1608,O,8,XXOO.OXXO
1609,draw,9,XXOOOXXXO
1610,O,8,O.XOOXXXO
1611,X,9,OXXOXOXXO
1612,O,8,OOOOXXXX.
1613,O,8,.OOXOXXOX
1614,X,5,O..XXXO..
1615,X,7,O.OOX.XXX
1616,X,5,...XXXO.O
1617,X,7,OXOXXO.X.
1618,X,7,XO.OXXO.X
1619,O,6,O.XOXXO..
1620,draw,9,XOXOXXOXO
1621,X,9,XXOOXXOOX
1622,X,5,X..OX.O.X
1623,draw,9,XOXOXXOXO
1624,draw,9,XOXXOOOXX
1625,X,9,XOXOXXOOX
1626,X,7,O..OXOXXX
1627,O,6,..X.XXOOO
1628,draw,9,XOXXXOOXO
1629,O,6,..X.XXOOO
1630,X,7,.O.XXXOXO
1631,X,7,.XOXX.OXO
1632,X,7,XO.XXOO.X
1633,X,7,XOOXX.O.X
1634,X,7,OX.XXX.OO
1635,O,8,XXOX.OOXO
1636,X,7,OO.XXXOX.
1637,draw,9,XOXXXOOXO
1638,X,9,XXOOXXOXO
1639,O,6,..XXX.OOO
1640,draw,9,OXOXXOXOX
1641,O,8,OXXOXXOO.
1642,X,7,.X.XXOOXO
1643,X,5,..OXXX..O
1644,X,9,OXXXXOXOO
1645,O,6,.XOX.OX.O
1646,O,6,.XO.XOX.O
1647,X,9,XXXXOOOOX
1648,X,7,OXOXXO.X.
1649,X,7,XOOXXOX..
1650,X,7,XXX.O.OXO
1651,X,7,OX.XXOOX.
1652,X,7,OOXXOX..X
1653,draw,9,OXOXOXXOX
1654,O,8,OXXX.XOOO
1655,draw,9,OXXXOOXOX
1656,draw,9,OXXXXOOOX
1657,O,8,XOXXOX.OO
1658,draw,9,XXOOOXXXO
1659,X,5,OX..X..XO
1660,X,9,OXOXXXOOX
1661,X,7,OXX.X.OXO
1662,O,6,OX.XOX..O
1663,X,5,X.OX..XO.
1664,draw,9,OXXXOOXOX
1665,X,7,.OXXXXOO.
1666,O,8,XXO.XOXOO
1667,O,6,OX.OX.O.X
1668,O,6,OX.XO..XO
1669,X,7,OXOO..XXX
1670,draw,9,OXOOXXXOX
1671,draw,9,OXOXOXXOX
1672,X,7,XXOX.OXO.
1673,X,5,X..X..XOO
1674,O,8,XXOOO.OXX
1675,draw,9,XXOOXXXOO
1676,X,9,OXXOXOXOX
1677,X,9,XXOOXOXOX
1678,X,5,OX.OX..X.
1679,X,9,OXOOOXXXX
1680,X,5,...XXXOO.
1681,O,8,XXOXO.OXO
1682,O,8,XXOXOXOO.
1683,X,5,XXX.O..O.
1684,O,8,XXOXOXO.O
1685,draw,9,XOOOXXXXO
1686,X,5,O.O...XXX
1687,X,7,XXX..OXOO
1688,O,6,X.O.XOX.O
1689,X,9,XOXOXXXOO
1690,X,5,X..XO.X.O
1691,X,9,XOXOXOXXO
1692,O,6,O..OXXO.X
1693,draw,9,XXOOXXXOO
1694,X,7,XXX.O.XOO
1695,X,7,XOXOX.X.O
1696,X,5,XO..XO..X
1697,X,9,XOOOXXXOX
1698,O,6,X.O.XOX.O
1699,X,5,X.OX..X.O
1700,X,5,X.OX..X.O
1701,O,8,XXOOOOX.X
1702,X,7,XXX.O.XOO
1703,X,9,OOXXOOXXX
1704,draw,9,XXOOOXXXO
1705,X,7,.XXOXOX.O
1706,X,7,X.OOXOX.X
1707,draw,9,OXOOXXXOX
1708,X,7,XXXO.OX.O
1709,draw,9,OXOOXXXOX
1710,X,9,OOXXXOXOX
1711,X,9,OXXOOXXOX
1712,X,5,OO.XXX...
1713,X,7,O.XOXOX.X
1714,X,5,X..XO.XO.
1715,X,5,OO....XXX
1716,draw,9,XXOOOXXXO
1717,X,7,.XOOXOXX.
1718,X,5,OO....XXX
1719,draw,9,XXOOXXXOO
