game,agent_mark,ply,board,player,action,after
75,O,9,XOXOO.OXX,X,5,XOXOOXOXX
76,X,1,.........,X,4,....X....
76,X,2,....X....,O,6,....X.O..
76,X,3,....X.O..,X,1,.X..X.O..
76,X,4,.X..X.O..,O,7,.X..X.OO.
76,X,5,.X..X.OO.,X,8,.X..X.OOX
76,X,6,.X..X.OOX,O,0,OX..X.OOX
76,X,7,OX..X.OOX,X,5,OX..XXOOX
76,X,8,OX..XXOOX,O,2,OXO.XXOOX
76,X,9,OXO.XXOOX,X,3,OXOXXXOOX
77,O,1,.........,X,7,.......X.
77,O,2,.......X.,O,3,...O...X.
77,O,3,...O...X.,X,0,X..O...X.
77,O,4,X..O...X.,O,2,X.OO...X.
77,O,5,X.OO...X.,X,8,X.OO...XX
77,O,6,X.OO...XX,O,6,X.OO..OXX
77,O,7,X.OO..OXX,X,5,X.OO.XOXX
77,O,8,X.OO.XOXX,O,1,XOOO.XOXX
77,O,9,XOOO.XOXX,X,4,XOOOXXOXX
78,X,1,.........,X,1,.X.......
78,X,2,.X.......,O,4,.X..O....
78,X,3,.X..O....,X,2,.XX.O....
78,X,4,.XX.O....,O,7,.XX.O..O.
78,X,5,.XX.O..O.,X,8,.XX.O..OX
78,X,6,.XX.O..OX,O,6,.XX.O.OOX
78,X,7,.XX.O.OOX,X,3,.XXXO.OOX
78,X,8,.XXXO.OOX,O,5,.XXXOOOOX
78,X,9,.XXXOOOOX,X,0,XXXXOOOOX
79,O,1,.........,X,2,..X......
79,O,2,..X......,O,4,..X.O....
79,O,3,..X.O....,X,7,..X.O..X.
79,O,4,..X.O..X.,O,6,..X.O.OX.
79,O,5,..X.O.OX.,X,0,X.X.O.OX.
79,O,6,X.X.O.OX.,O,5,X.X.OOOX.
79,O,7,X.X.OOOX.,X,8,X.X.OOOXX
79,O,8,X.X.OOOXX,O,1,XOX.OOOXX
79,O,9,XOX.OOOXX,X,3,XOXXOOOXX
80,X,1,.........,X,0,X........
80,X,2,X........,O,5,X....O...
80,X,3,X....O...,X,3,X..X.O...
80,X,4,X..X.O...,O,2,X.OX.O...
80,X,5,X.OX.O...,X,1,XXOX.O...
80,X,6,XXOX.O...,O,8,XXOX.O..O
81,O,1,.........,X,6,......X..
81,O,2,......X..,O,4,....O.X..
81,O,3,....O.X..,X,8,....O.X.X
81,O,4,....O.X.X,O,5,....OOX.X
81,O,5,....OOX.X,X,7,....OOXXX
82,X,1,.........,X,3,...X.....
82,X,2,...X.....,O,4,...XO....
82,X,3,...XO....,X,1,.X.XO....
82,X,4,.X.XO....,O,5,.X.XOO...
82,X,5,.X.XOO...,X,8,.X.XOO..X
82,X,6,.X.XOO..X,O,7,.X.XOO.OX
82,X,7,.X.XOO.OX,X,2,.XXXOO.OX
82,X,8,.XXXOO.OX,O,0,OXXXOO.OX
82,X,9,OXXXOO.OX,X,6,OXXXOOXOX
83,O,1,.........,X,7,.......X.
83,O,2,.......X.,O,0,O......X.
83,O,3,O......X.,X,8,O......XX
83,O,4,O......XX,O,5,O....O.XX
83,O,5,O....O.XX,X,6,O....OXXX
84,X,1,.........,X,0,X........
84,X,2,X........,O,1,XO.......
84,X,3,XO.......,X,6,XO....X..
84,X,4,XO....X..,O,8,XO....X.O
84,X,5,XO....X.O,X,7,XO....XXO
84,X,6,XO....XXO,O,4,XO..O.XXO
84,X,7,XO..O.XXO,X,5,XO..OXXXO
84,X,8,XO..OXXXO,O,2,XOO.OXXXO
84,X,9,XOO.OXXXO,X,3,XOOXOXXXO
85,O,1,.........,X,3,...X.....
85,O,2,...X.....,O,4,...XO....
85,O,3,...XO....,X,6,...XO.X..
85,O,4,...XO.X..,O,5,...XOOX..
85,O,5,...XOOX..,X,0,X..XOOX..
86,X,1,.........,X,8,........X
86,X,2,........X,O,4,....O...X
86,X,3,....O...X,X,2,..X.O...X
86,X,4,..X.O...X,O,1,.OX.O...X
86,X,5,.OX.O...X,X,0,XOX.O...X
86,X,6,XOX.O...X,O,3,XOXOO...X
86,X,7,XOXOO...X,X,7,XOXOO..XX
86,X,8,XOXOO..XX,O,5,XOXOOO.XX
87,O,1,.........,X,8,........X
87,O,2,........X,O,6,......O.X
87,O,3,......O.X,X,5,.....XO.X
87,O,4,.....XO.X,O,2,..O..XO.X
87,O,5,..O..XO.X,X,3,..OX.XO.X
87,O,6,..OX.XO.X,O,7,..OX.XOOX
87,O,7,..OX.XOOX,X,0,X.OX.XOOX
87,O,8,X.OX.XOOX,O,4,X.OXOXOOX
88,X,1,.........,X,5,.....X...
88,X,2,.....X...,O,3,...O.X...
88,X,3,...O.X...,X,2,..XO.X...
88,X,4,..XO.X...,O,1,.OXO.X...
88,X,5,.OXO.X...,X,8,.OXO.X..X
89,O,1,.........,X,2,..X......
89,O,2,..X......,O,7,..X....O.
89,O,3,..X....O.,X,3,..XX...O.
89,O,4,..XX...O.,O,1,.OXX...O.
89,O,5,.OXX...O.,X,0,XOXX...O.
89,O,6,XOXX...O.,O,8,XOXX...OO
89,O,7,XOXX...OO,X,6,XOXX..XOO
90,X,1,.........,X,7,.......X.
90,X,2,.......X.,O,4,....O..X.
90,X,3,....O..X.,X,2,..X.O..X.
90,X,4,..X.O..X.,O,1,.OX.O..X.
90,X,5,.OX.O..X.,X,6,.OX.O.XX.
90,X,6,.OX.O.XX.,O,8,.OX.O.XXO
90,X,7,.OX.O.XXO,X,3,.OXXO.XXO
90,X,8,.OXXO.XXO,O,0,OOXXO.XXO
91,O,1,.........,X,8,........X
91,O,2,........X,O,7,.......OX
91,O,3,.......OX,X,1,.X.....OX
91,O,4,.X.....OX,O,5,.X...O.OX
91,O,5,.X...O.OX,X,2,.XX..O.OX
91,O,6,.XX..O.OX,O,3,.XXO.O.OX
91,O,7,.XXO.O.OX,X,6,.XXO.OXOX
91,O,8,.XXO.OXOX,O,0,OXXO.OXOX
91,O,9,OXXO.OXOX,X,4,OXXOXOXOX
92,X,1,.........,X,5,.....X...
92,X,2,.....X...,O,1,.O...X...
92,X,3,.O...X...,X,7,.O...X.X.
92,X,4,.O...X.X.,O,2,.OO..X.X.
92,X,5,.OO..X.X.,X,8,.OO..X.XX
92,X,6,.OO..X.XX,O,6,.OO..XOXX
92,X,7,.OO..XOXX,X,3,.OOX.XOXX
92,X,8,.OOX.XOXX,O,0,OOOX.XOXX
93,O,1,.........,X,8,........X
93,O,2,........X,O,6,......O.X
93,O,3,......O.X,X,1,.X....O.X
93,O,4,.X....O.X,O,5,.X...OO.X
93,O,5,.X...OO.X,X,7,.X...OOXX
93,O,6,.X...OOXX,O,0,OX...OOXX
93,O,7,OX...OOXX,X,3,OX.X.OOXX
93,O,8,OX.X.OOXX,O,4,OX.XOOOXX
93,O,9,OX.XOOOXX,X,2,OXXXOOOXX
94,X,1,.........,X,1,.X.......
94,X,2,.X.......,O,0,OX.......
94,X,3,OX.......,X,3,OX.X.....
94,X,4,OX.X.....,O,5,OX.X.O...
94,X,5,OX.X.O...,X,7,OX.X.O.X.
94,X,6,OX.X.O.X.,O,2,OXOX.O.X.
94,X,7,OXOX.O.X.,X,6,OXOX.OXX.
94,X,8,OXOX.OXX.,O,8,OXOX.OXXO
95,O,1,.........,X,4,....X....
95,O,2,....X....,O,3,...OX....
95,O,3,...OX....,X,6,...OX.X..
95,O,4,...OX.X..,O,5,...OXOX..
95,O,5,...OXOX..,X,0,X..OXOX..
95,O,6,X..OXOX..,O,8,X..OXOX.O
95,O,7,X..OXOX.O,X,1,XX.OXOX.O
95,O,8,XX.OXOX.O,O,7,XX.OXOXOO
95,O,9,XX.OXOXOO,X,2,XXXOXOXOO
96,X,1,.........,X,0,X........
96,X,2,X........,O,4,X...O....
96,X,3,X...O....,X,7,X...O..X.
96,X,4,X...O..X.,O,2,X.O.O..X.
96,X,5,X.O.O..X.,X,8,X.O.O..XX
96,X,6,X.O.O..XX,O,5,X.O.OO.XX
96,X,7,X.O.OO.XX,X,6,X.O.OOXXX
97,O,1,.........,X,0,X........
97,O,2,X........,O,2,X.O......
97,O,3,X.O......,X,6,X.O...X..
97,O,4,X.O...X..,O,1,XOO...X..
97,O,5,XOO...X..,X,8,XOO...X.X
97,O,6,XOO...X.X,O,5,XOO..OX.X
97,O,7,XOO..OX.X,X,4,XOO.XOX.X
98,X,1,.........,X,8,........X
98,X,2,........X,O,0,O.......X
98,X,3,O.......X,X,7,O......XX
98,X,4,O......XX,O,5,O....O.XX
98,X,5,O....O.XX,X,1,OX...O.XX
98,X,6,OX...O.XX,O,2,OXO..O.XX
98,X,7,OXO..O.XX,X,6,OXO..OXXX
99,O,1,.........,X,3,...X.....
99,O,2,...X.....,O,8,...X....O
99,O,3,...X....O,X,4,...XX...O
99,O,4,...XX...O,O,1,.O.XX...O
99,O,5,.O.XX...O,X,7,.O.XX..XO
99,O,6,.O.XX..XO,O,6,.O.XX.OXO
99,O,7,.O.XX.OXO,X,2,.OXXX.OXO
99,O,8,.OXXX.OXO,O,5,.OXXXOOXO
99,O,9,.OXXXOOXO,X,0,XOXXXOOXO
100,X,1,.........,X,2,..X......
100,X,2,..X......,O,5,..X..O...
100,X,3,..X..O...,X,8,..X..O..X
100,X,4,..X..O..X,O,0,O.X..O..X
100,X,5,O.X..O..X,X,1,OXX..O..X
100,X,6,OXX..O..X,O,7,OXX..O.OX
100,X,7,OXX..O.OX,X,3,OXXX.O.OX
100,X,8,OXXX.O.OX,O,4,OXXXOO.OX
100,X,9,OXXXOO.OX,X,6,OXXXOOXOX
101,O,1,.........,X,8,........X
101,O,2,........X,O,7,.......OX
101,O,3,.......OX,X,3,...X...OX
101,O,4,...X...OX,O,0,O..X...OX
101,O,5,O..X...OX,X,4,O..XX..OX
101,O,6,O..XX..OX,O,6,O..XX.OOX
101,O,7,O..XX.OOX,X,5,O..XXXOOX
102,X,1,.........,X,6,......X..
102,X,2,......X..,O,5,.....OX..
102,X,3,.....OX..,X,4,....XOX..
102,X,4,....XOX..,O,2,..O.XOX..
102,X,5,..O.XOX..,X,0,X.O.XOX..
102,X,6,X.O.XOX..,O,1,XOO.XOX..
102,X,7,XOO.XOX..,X,7,XOO.XOXX.
102,X,8,XOO.XOXX.,O,8,XOO.XOXXO
103,O,1,.........,X,6,......X..
103,O,2,......X..,O,2,..O...X..
103,O,3,..O...X..,X,1,.XO...X..
103,O,4,.XO...X..,O,3,.XOO..X..
103,O,5,.XOO..X..,X,7,.XOO..XX.
103,O,6,.XOO..XX.,O,5,.XOO.OXX.
103,O,7,.XOO.OXX.,X,0,XXOO.OXX.
103,O,8,XXOO.OXX.,O,4,XXOOOOXX.
104,X,1,.........,X,2,..X......
104,X,2,..X......,O,8,..X.....O
104,X,3,..X.....O,X,4,..X.X...O
104,X,4,..X.X...O,O,3,..XOX...O
104,X,5,..XOX...O,X,6,..XOX.X.O
105,O,1,.........,X,7,.......X.
105,O,2,.......X.,O,6,......OX.
105,O,3,......OX.,X,4,....X.OX.
105,O,4,....X.OX.,O,8,....X.OXO
105,O,5,....X.OXO,X,1,.X..X.OXO
106,X,1,.........,X,1,.X.......
106,X,2,.X.......,O,6,.X....O..
106,X,3,.X....O..,X,0,XX....O..
106,X,4,XX....O..,O,8,XX....O.O
106,X,5,XX....O.O,X,4,XX..X.O.O
106,X,6,XX..X.O.O,O,5,XX..XOO.O
106,X,7,XX..XOO.O,X,3,XX.XXOO.O
106,X,8,XX.XXOO.O,O,7,XX.XXOOOO
107,O,1,.........,X,6,......X..
107,O,2,......X..,O,5,.....OX..
107,O,3,.....OX..,X,4,....XOX..
107,O,4,....XOX..,O,3,...OXOX..
107,O,5,...OXOX..,X,0,X..OXOX..
107,O,6,X..OXOX..,O,2,X.OOXOX..
107,O,7,X.OOXOX..,X,7,X.OOXOXX.
107,O,8,X.OOXOXX.,O,1,XOOOXOXX.
107,O,9,XOOOXOXX.,X,8,XOOOXOXXX
108,X,1,.........,X,6,......X..
108,X,2,......X..,O,1,.O....X..
108,X,3,.O....X..,X,8,.O....X.X
108,X,4,.O....X.X,O,2,.OO...X.X
108,X,5,.OO...X.X,X,3,.OOX..X.X
108,X,6,.OOX..X.X,O,7,.OOX..XOX
108,X,7,.OOX..XOX,X,4,.OOXX.XOX
108,X,8,.OOXX.XOX,O,5,.OOXXOXOX
108,X,9,.OOXXOXOX,X,0,XOOXXOXOX
109,O,1,.........,X,3,...X.....
109,O,2,...X.....,O,7,...X...O.
109,O,3,...X...O.,X,4,...XX..O.
109,O,4,...XX..O.,O,8,...XX..OO
109,O,5,...XX..OO,X,5,...XXX.OO
110,X,1,.........,X,7,.......X.
110,X,2,.......X.,O,0,O......X.
110,X,3,O......X.,X,1,OX.....X.
110,X,4,OX.....X.,O,8,OX.....XO
110,X,5,OX.....XO,X,2,OXX....XO
110,X,6,OXX....XO,O,5,OXX..O.XO
110,X,7,OXX..O.XO,X,4,OXX.XO.XO
111,O,1,.........,X,1,.X.......
111,O,2,.X.......,O,4,.X..O....
111,O,3,.X..O....,X,0,XX..O....
111,O,4,XX..O....,O,6,XX..O.O..
111,O,5,XX..O.O..,X,5,XX..OXO..
111,O,6,XX..OXO..,O,8,XX..OXO.O
111,O,7,XX..OXO.O,X,2,XXX.OXO.O
112,X,1,.........,X,8,........X
112,X,2,........X,O,0,O.......X
112,X,3,O.......X,X,5,O....X..X
112,X,4,O....X..X,O,6,O....XO.X
112,X,5,O....XO.X,X,3,O..X.XO.X
112,X,6,O..X.XO.X,O,7,O..X.XOOX
112,X,7,O..X.XOOX,X,4,O..XXXOOX
113,O,1,.........,X,7,.......X.
113,O,2,.......X.,O,8,.......XO
113,O,3,.......XO,X,1,.X.....XO
113,O,4,.X.....XO,O,4,.X..O..XO
113,O,5,.X..O..XO,X,5,.X..OX.XO
113,O,6,.X..OX.XO,O,2,.XO.OX.XO
113,O,7,.XO.OX.XO,X,3,.XOXOX.XO
113,O,8,.XOXOX.XO,O,6,.XOXOXOXO
114,X,1,.........,X,7,.......X.
114,X,2,.......X.,O,2,..O....X.
114,X,3,..O....X.,X,1,.XO....X.
114,X,4,.XO....X.,O,0,OXO....X.
114,X,5,OXO....X.,X,4,OXO.X..X.
115,O,1,.........,X,7,.......X.
115,O,2,.......X.,O,3,...O...X.
115,O,3,...O...X.,X,0,X..O...X.
115,O,4,X..O...X.,O,1,XO.O...X.
115,O,5,XO.O...X.,X,6,XO.O..XX.
115,O,6,XO.O..XX.,O,2,XOOO..XX.
115,O,7,XOOO..XX.,X,4,XOOOX.XX.
115,O,8,XOOOX.XX.,O,8,XOOOX.XXO
115,O,9,XOOOX.XXO,X,5,XOOOXXXXO
116,X,1,.........,X,6,......X..
116,X,2,......X..,O,7,......XO.
116,X,3,......XO.,X,1,.X....XO.
116,X,4,.X....XO.,O,5,.X...OXO.
116,X,5,.X...OXO.,X,4,.X..XOXO.
116,X,6,.X..XOXO.,O,0,OX..XOXO.
116,X,7,OX..XOXO.,X,2,OXX.XOXO.
117,O,1,.........,X,2,..X......
117,O,2,..X......,O,1,.OX......
117,O,3,.OX......,X,3,.OXX.....
117,O,4,.OXX.....,O,7,.OXX...O.
117,O,5,.OXX...O.,X,8,.OXX...OX
117,O,6,.OXX...OX,O,5,.OXX.O.OX
117,O,7,.OXX.O.OX,X,4,.OXXXO.OX
117,O,8,.OXXXO.OX,O,6,.OXXXOOOX
117,O,9,.OXXXOOOX,X,0,XOXXXOOOX
118,X,1,.........,X,8,........X
118,X,2,........X,O,2,..O.....X
118,X,3,..O.....X,X,1,.XO.....X
118,X,4,.XO.....X,O,5,.XO..O..X
118,X,5,.XO..O..X,X,7,.XO..O.XX
118,X,6,.XO..O.XX,O,6,.XO..OOXX
118,X,7,.XO..OOXX,X,0,XXO..OOXX
118,X,8,XXO..OOXX,O,4,XXO.OOOXX
119,O,1,.........,X,6,......X..
119,O,2,......X..,O,0,O.....X..
119,O,3,O.....X..,X,7,O.....XX.
119,O,4,O.....XX.,O,8,O.....XXO
119,O,5,O.....XXO,X,1,OX....XXO
119,O,6,OX....XXO,O,3,OX.O..XXO
119,O,7,OX.O..XXO,X,5,OX.O.XXXO
119,O,8,OX.O.XXXO,O,2,OXOO.XXXO
119,O,9,OXOO.XXXO,X,4,OXOOXXXXO
120,X,1,.........,X,8,........X
120,X,2,........X,O,1,.O......X
120,X,3,.O......X,X,5,.O...X..X
120,X,4,.O...X..X,O,0,OO...X..X
120,X,5,OO...X..X,X,6,OO...XX.X
120,X,6,OO...XX.X,O,4,OO..OXX.X
120,X,7,OO..OXX.X,X,7,OO..OXXXX
121,O,1,.........,X,5,.....X...
121,O,2,.....X...,O,1,.O...X...
121,O,3,.O...X...,X,4,.O..XX...
121,O,4,.O..XX...,O,8,.O..XX..O
121,O,5,.O..XX..O,X,2,.OX.XX..O
121,O,6,.OX.XX..O,O,6,.OX.XXO.O
121,O,7,.OX.XXO.O,X,0,XOX.XXO.O
121,O,8,XOX.XXO.O,O,7,XOX.XXOOO
122,X,1,.........,X,0,X........
122,X,2,X........,O,7,X......O.
122,X,3,X......O.,X,1,XX.....O.
122,X,4,XX.....O.,O,8,XX.....OO
122,X,5,XX.....OO,X,5,XX...X.OO
122,X,6,XX...X.OO,O,3,XX.O.X.OO
122,X,7,XX.O.X.OO,X,2,XXXO.X.OO
123,O,1,.........,X,6,......X..
123,O,2,......X..,O,2,..O...X..
123,O,3,..O...X..,X,7,..O...XX.
123,O,4,..O...XX.,O,8,..O...XXO
123,O,5,..O...XXO,X,1,.XO...XXO
123,O,6,.XO...XXO,O,5,.XO..OXXO
124,X,1,.........,X,3,...X.....
124,X,2,...X.....,O,8,...X....O
124,X,3,...X....O,X,7,...X...XO
124,X,4,...X...XO,O,0,O..X...XO
124,X,5,O..X...XO,X,1,OX.X...XO
124,X,6,OX.X...XO,O,2,OXOX...XO
124,X,7,OXOX...XO,X,5,OXOX.X.XO
124,X,8,OXOX.X.XO,O,6,OXOX.XOXO
124,X,9,OXOX.XOXO,X,4,OXOXXXOXO
125,O,1,.........,X,3,...X.....
125,O,2,...X.....,O,1,.O.X.....
125,O,3,.O.X.....,X,8,.O.X....X
125,O,4,.O.X....X,O,6,.O.X..O.X
125,O,5,.O.X..O.X,X,5,.O.X.XO.X
125,O,6,.O.X.XO.X,O,4,.O.XOXO.X
125,O,7,.O.XOXO.X,X,2,.OXXOXO.X
126,X,1,.........,X,4,....X....
126,X,2,....X....,O,5,....XO...
126,X,3,....XO...,X,6,....XOX..
126,X,4,....XOX..,O,8,....XOX.O
126,X,5,....XOX.O,X,7,....XOXXO
126,X,6,....XOXXO,O,3,...OXOXXO
126,X,7,...OXOXXO,X,0,X..OXOXXO
126,X,8,X..OXOXXO,O,2,X.OOXOXXO
127,O,1,.........,X,7,.......X.
127,O,2,.......X.,O,5,.....O.X.
127,O,3,.....O.X.,X,3,...X.O.X.
127,O,4,...X.O.X.,O,6,...X.OOX.
127,O,5,...X.OOX.,X,1,.X.X.OOX.
127,O,6,.X.X.OOX.,O,4,.X.XOOOX.
127,O,7,.X.XOOOX.,X,2,.XXXOOOX.
127,O,8,.XXXOOOX.,O,8,.XXXOOOXO
127,O,9,.XXXOOOXO,X,0,XXXXOOOXO
128,X,1,.........,X,8,........X
128,X,2,........X,O,7,.......OX
128,X,3,.......OX,X,3,...X...OX
128,X,4,...X...OX,O,1,.O.X...OX
128,X,5,.O.X...OX,X,5,.O.X.X.OX
128,X,6,.O.X.X.OX,O,2,.OOX.X.OX
128,X,7,.OOX.X.OX,X,0,XOOX.X.OX
128,X,8,XOOX.X.OX,O,4,XOOXOX.OX
129,O,1,.........,X,3,...X.....
129,O,2,...X.....,O,6,...X..O..
129,O,3,...X..O..,X,8,...X..O.X
129,O,4,...X..O.X,O,1,.O.X..O.X
129,O,5,.O.X..O.X,X,0,XO.X..O.X
129,O,6,XO.X..O.X,O,4,XO.XO.O.X
129,O,7,XO.XO.O.X,X,2,XOXXO.O.X
129,O,8,XOXXO.O.X,O,7,XOXXO.OOX
130,X,1,.........,X,5,.....X...
130,X,2,.....X...,O,7,.....X.O.
130,X,3,.....X.O.,X,3,...X.X.O.
130,X,4,...X.X.O.,O,1,.O.X.X.O.
130,X,5,.O.X.X.O.,X,8,.O.X.X.OX
130,X,6,.O.X.X.OX,O,6,.O.X.XOOX
130,X,7,.O.X.XOOX,X,4,.O.XXXOOX
131,O,1,.........,X,1,.X.......
131,O,2,.X.......,O,0,OX.......
131,O,3,OX.......,X,6,OX....X..
131,O,4,OX....X..,O,5,OX...OX..
131,O,5,OX...OX..,X,4,OX..XOX..
131,O,6,OX..XOX..,O,2,OXO.XOX..
131,O,7,OXO.XOX..,X,7,OXO.XOXX.
132,X,1,.........,X,7,.......X.
132,X,2,.......X.,O,3,...O...X.
132,X,3,...O...X.,X,1,.X.O...X.
132,X,4,.X.O...X.,O,6,.X.O..OX.
132,X,5,.X.O..OX.,X,0,XX.O..OX.
132,X,6,XX.O..OX.,O,4,XX.OO.OX.
132,X,7,XX.OO.OX.,X,8,XX.OO.OXX
132,X,8,XX.OO.OXX,O,2,XXOOO.OXX
133,O,1,.........,X,0,X........
133,O,2,X........,O,1,XO.......
133,O,3,XO.......,X,7,XO.....X.
133,O,4,XO.....X.,O,2,XOO....X.
133,O,5,XOO....X.,X,4,XOO.X..X.
133,O,6,XOO.X..X.,O,5,XOO.XO.X.
133,O,7,XOO.XO.X.,X,8,XOO.XO.XX
134,X,1,.........,X,3,...X.....
134,X,2,...X.....,O,8,...X....O
134,X,3,...X....O,X,4,...XX...O
134,X,4,...XX...O,O,6,...XX.O.O
134,X,5,...XX.O.O,X,5,...XXXO.O
135,O,1,.........,X,1,.X.......
135,O,2,.X.......,O,2,.XO......
135,O,3,.XO......,X,7,.XO....X.
135,O,4,.XO....X.,O,6,.XO...OX.
135,O,5,.XO...OX.,X,4,.XO.X.OX.
136,X,1,.........,X,3,...X.....
136,X,2,...X.....,O,0,O..X.....
136,X,3,O..X.....,X,1,OX.X.....
136,X,4,OX.X.....,O,2,OXOX.....
136,X,5,OXOX.....,X,4,OXOXX....
136,X,6,OXOXX....,O,8,OXOXX...O
136,X,7,OXOXX...O,X,5,OXOXXX..O
137,O,1,.........,X,2,..X......
137,O,2,..X......,O,3,..XO.....
137,O,3,..XO.....,X,7,..XO...X.
137,O,4,..XO...X.,O,0,O.XO...X.
137,O,5,O.XO...X.,X,8,O.XO...XX
137,O,6,O.XO...XX,O,1,OOXO...XX
137,O,7,OOXO...XX,X,5,OOXO.X.XX
138,X,1,.........,X,1,.X.......
138,X,2,.X.......,O,4,.X..O....
138,X,3,.X..O....,X,0,XX..O....
138,X,4,XX..O....,O,2,XXO.O....
138,X,5,XXO.O....,X,6,XXO.O.X..
138,X,6,XXO.O.X..,O,7,XXO.O.XO.
138,X,7,XXO.O.XO.,X,5,XXO.OXXO.
138,X,8,XXO.OXXO.,O,8,XXO.OXXOO
138,X,9,XXO.OXXOO,X,3,XXOXOXXOO
139,O,1,.........,X,1,.X.......
139,O,2,.X.......,O,8,.X......O
139,O,3,.X......O,X,5,.X...X..O
139,O,4,.X...X..O,O,3,.X.O.X..O
139,O,5,.X.O.X..O,X,4,.X.OXX..O
139,O,6,.X.OXX..O,O,2,.XOOXX..O
139,O,7,.XOOXX..O,X,6,.XOOXXX.O
139,O,8,.XOOXXX.O,O,0,OXOOXXX.O
139,O,9,OXOOXXX.O,X,7,OXOOXXXXO
140,X,1,.........,X,1,.X.......
140,X,2,.X.......,O,5,.X...O...
140,X,3,.X...O...,X,0,XX...O...
140,X,4,XX...O...,O,7,XX...O.O.
140,X,5,XX...O.O.,X,2,XXX..O.O.
141,O,1,.........,X,5,.....X...
141,O,2,.....X...,O,4,....OX...
141,O,3,....OX...,X,8,....OX..X
141,O,4,....OX..X,O,0,O...OX..X
141,O,5,O...OX..X,X,7,O...OX.XX
141,O,6,O...OX.XX,O,2,O.O.OX.XX
141,O,7,O.O.OX.XX,X,3,O.OXOX.XX
141,O,8,O.OXOX.XX,O,6,O.OXOXOXX
142,X,1,.........,X,1,.X.......
142,X,2,.X.......,O,7,.X.....O.
142,X,3,.X.....O.,X,2,.XX....O.
142,X,4,.XX....O.,O,5,.XX..O.O.
142,X,5,.XX..O.O.,X,3,.XXX.O.O.
142,X,6,.XXX.O.O.,O,0,OXXX.O.O.
142,X,7,OXXX.O.O.,X,6,OXXX.OXO.
142,X,8,OXXX.OXO.,O,8,OXXX.OXOO
142,X,9,OXXX.OXOO,X,4,OXXXXOXOO
143,O,1,.........,X,5,.....X...
143,O,2,.....X...,O,6,.....XO..
143,O,3,.....XO..,X,1,.X...XO..
143,O,4,.X...XO..,O,8,.X...XO.O
143,O,5,.X...XO.O,X,2,.XX..XO.O
143,O,6,.XX..XO.O,O,7,.XX..XOOO
144,X,1,.........,X,5,.....X...
144,X,2,.....X...,O,6,.....XO..
144,X,3,.....XO..,X,8,.....XO.X
144,X,4,.....XO.X,O,3,...O.XO.X
144,X,5,...O.XO.X,X,4,...OXXO.X
144,X,6,...OXXO.X,O,2,..OOXXO.X
144,X,7,..OOXXO.X,X,7,..OOXXOXX
144,X,8,..OOXXOXX,O,0,O.OOXXOXX
145,O,1,.........,X,0,X........
145,O,2,X........,O,4,X...O....
145,O,3,X...O....,X,5,X...OX...
145,O,4,X...OX...,O,3,X..OOX...
145,O,5,X..OOX...,X,1,XX.OOX...
145,O,6,XX.OOX...,O,2,XXOOOX...
145,O,7,XXOOOX...,X,7,XXOOOX.X.
145,O,8,XXOOOX.X.,O,6,XXOOOXOX.
146,X,1,.........,X,7,.......X.
146,X,2,.......X.,O,8,.......XO
146,X,3,.......XO,X,6,......XXO
146,X,4,......XXO,O,1,.O....XXO
146,X,5,.O....XXO,X,3,.O.X..XXO
146,X,6,.O.X..XXO,O,0,OO.X..XXO
146,X,7,OO.X..XXO,X,2,OOXX..XXO
146,X,8,OOXX..XXO,O,4,OOXXO.XXO
147,O,1,.........,X,0,X........
147,O,2,X........,O,2,X.O......
147,O,3,X.O......,X,1,XXO......
147,O,4,XXO......,O,4,XXO.O....
147,O,5,XXO.O....,X,5,XXO.OX...
147,O,6,XXO.OX...,O,7,XXO.OX.O.
147,O,7,XXO.OX.O.,X,3,XXOXOX.O.
147,O,8,XXOXOX.O.,O,8,XXOXOX.OO
147,O,9,XXOXOX.OO,X,6,XXOXOXXOO
148,X,1,.........,X,8,........X
148,X,2,........X,O,3,...O....X
148,X,3,...O....X,X,7,...O...XX
148,X,4,...O...XX,O,4,...OO..XX
148,X,5,...OO..XX,X,6,...OO.XXX
149,O,1,.........,X,1,.X.......
149,O,2,.X.......,O,6,.X....O..
149,O,3,.X....O..,X,5,.X...XO..
149,O,4,.X...XO..,O,3,.X.O.XO..
149,O,5,.X.O.XO..,X,7,.X.O.XOX.
149,O,6,.X.O.XOX.,O,0,OX.O.XOX.
150,X,1,.........,X,8,........X
150,X,2,........X,O,3,...O....X
150,X,3,...O....X,X,4,...OX...X
150,X,4,...OX...X,O,0,O..OX...X
150,X,5,O..OX...X,X,2,O.XOX...X
150,X,6,O.XOX...X,O,1,OOXOX...X
150,X,7,OOXOX...X,X,6,OOXOX.X.X
151,O,1,.........,X,2,..X......
151,O,2,..X......,O,1,.OX......
151,O,3,.OX......,X,0,XOX......
151,O,4,XOX......,O,7,XOX....O.
151,O,5,XOX....O.,X,3,XOXX...O.
151,O,6,XOXX...O.,O,5,XOXX.O.O.
151,O,7,XOXX.O.O.,X,8,XOXX.O.OX
151,O,8,XOXX.O.OX,O,6,XOXX.OOOX
151,O,9,XOXX.OOOX,X,4,XOXXXOOOX
152,X,1,.........,X,6,......X..
152,X,2,......X..,O,1,.O....X..
152,X,3,.O....X..,X,0,XO....X..
152,X,4,XO....X..,O,2,XOO...X..
152,X,5,XOO...X..,X,4,XOO.X.X..
