task,arm,step,template,factor,constructor_sha256,candidate_sha256
31,fixed,5,base:random-forest,1.0,b1778d8a5d3489a53790024a878ea0a797403c7574908c2e3cf6d30e7ac5dc85,e9c753f9787119201fc1c592a988b8976e0dc62d1acd2bb2dd1868577ffcf722
31,fixed,6,base:rbf-10,1.0,86cd928f7df3c0f4af0abf91496c77c3d67d72516b9809d1d94ed81db6c60360,13d628007aef6e99b23bbb779ea38ae22e49f3906910542c89aba2a08f66f0a5
31,fixed,7,base:neighbors-5,1.0,2cfd03dda9a20d11072ab4a27922927691fa4c5f818cf67d3e068477b39694b9,a4821662078480e2996fa850eaade7e28fb3fa0dd4259ee83a7724c8bad7f947
31,fixed,8,base:neighbors-25,1.0,662e1d798021ace0dedb399ca445c2c0c6b15fb79949e73a6e233367e927592c,d5ed597863abd27381db3bb000aa27f3299aa58a0c3783b6fdb9cc6c82d238cc
31,random,1,base:linear,1.0,477f6990e8f956e5a15a0f689b471c27ece2c2b7623d24fbdcfafb9f911d865f,5845040f70ad03cdf38d8b6362e028a5c41a29ddd9c28957f8eafaa4ff346ce8
31,random,2,base:extra-trees,1.0,9758b250ebc8c67c9cf558c35bf04c76927299c25cebae62ea56fa9b91dd73cc,6693402674e41a8ab7a643a8e9699f7c645e141ce3644d0798c8c25fbe088cc7
31,random,3,base:rbf-1,1.0,4c19b9f1ab81d4bd5b6342e720036ba0cd47c9c3ecb391ff919bc60d5e851377,23685b8c1140ac3757b641823dadaeed0d4c1d5d83ed3d9580db5a3e20ab0157
31,random,4,base:hist-boost,1.0,5f2791739ad7259e2976017f181347770f77265154f4bfd308a8cfa58b0a67e5,c324d40acb1400de8232424b830603bbe0655da3781387d7601b809bc44cd1ad
31,random,5,one:rbf-unscaled,0.16840088,afc7d9391a373a66110a8957446a43748c4e2db5202203a39418806cdbceb453,1831246f8fab4ac2e77a20acc74f6e448ee456b4b586ac4ebfe1eec42d40b4b2
31,random,6,two:unscaled-c100,0.50272448,4795e6cf38e395b85f1cae01ef3015f71df333575bb51a0cb62dd5eecb66f902,97d7a0867d3d90289f8648d71fd676a7aa52dccedda05bf765fdef475b15866a
31,random,7,one:boost-regularized,0.44100938,966199092288b88e3ef1ba31fb0d0b9cd09cad1cf6aa25a5a5d39a154383c2ec,f66b252a29614724c9da2e58f9ab3804d276431838146cfbb804c0055c1ddf09
31,random,8,one:rbf-wide,8.56837067,ce8b84b7d37ac3701d3562eb9189153ec7ebb64225d0566951fe21af0a7860da,ab146074191d756cbd77f5ecb50d2be74f8e97b5450feb9aa3521e80ad7303c0
361235,parent,1,one:median-reference,1.0,0e7bccedddab653ff3e040d2e94c3a482d3df78a2e7a91655732bbb42e690107,8e60205ddc11dd565413907a40a8a593392fc86bb1368fd9ce6be76e330b74e5
361235,parent,2,base:linear,1.0,7c4114b0be55bf38c22d073c3fab7268284a21cb5d5348bcfcea49f45f21fc97,5845040f70ad03cdf38d8b6362e028a5c41a29ddd9c28957f8eafaa4ff346ce8
361235,parent,3,base:random-forest,1.0,1f7d2adb92a25a84a864612606d7b02e1d0e9a5df8a8baaf6fd6381f44517c1a,e9c753f9787119201fc1c592a988b8976e0dc62d1acd2bb2dd1868577ffcf722
361235,parent,4,base:rbf-1,1.0,0527da49f6a383a0b6b83694fd56b7645e107c50ceb6d0a7e3fd484cd4f341e0,23685b8c1140ac3757b641823dadaeed0d4c1d5d83ed3d9580db5a3e20ab0157
361235,parent,5,base:random-forest,0.3,6c8fd5ec467a63a72dbc92a69a1306226ab1b0b0d054c6048ea4d71d6ed48928,35b4d2f651bde569852f078546d2b9a9c19416682864113a3737353a837b4611
361235,parent,6,base:random-forest,3.0,71f556c218f656e8bec10a376581c67d18c6dc9a34d0295234fb955f69fc194c,12a6a4187e6f00c052919665eff5d8e41a8a8d585160ab7a5d4ac3f28e5db986
361235,parent,7,base:random-forest,0.33,9e431d99c533c725654a391908f74234427805186dfd6f7c6ec8056cc447f535,fcc0da0ebd2712e940dcdcb19238ad80b7f0d6a60bcc914740f2fde7651f912d
361235,parent,8,base:random-forest,3.3,a95a7fba60edd716a987425d73421acd487182b65eeb431529c9e07dd736de27,98f0bf037cf4232cfd1e4bb913b450d8fd08960d2474522b5ee3378b6d11e4af
361235,harness,1,one:median-reference,1.0,0e7bccedddab653ff3e040d2e94c3a482d3df78a2e7a91655732bbb42e690107,8e60205ddc11dd565413907a40a8a593392fc86bb1368fd9ce6be76e330b74e5
361235,harness,2,base:linear,1.0,7c4114b0be55bf38c22d073c3fab7268284a21cb5d5348bcfcea49f45f21fc97,5845040f70ad03cdf38d8b6362e028a5c41a29ddd9c28957f8eafaa4ff346ce8
361235,harness,3,base:random-forest,1.0,1f7d2adb92a25a84a864612606d7b02e1d0e9a5df8a8baaf6fd6381f44517c1a,e9c753f9787119201fc1c592a988b8976e0dc62d1acd2bb2dd1868577ffcf722
361235,harness,4,base:rbf-1,1.0,0527da49f6a383a0b6b83694fd56b7645e107c50ceb6d0a7e3fd484cd4f341e0,23685b8c1140ac3757b641823dadaeed0d4c1d5d83ed3d9580db5a3e20ab0157
361235,harness,5,one:absolute-forest,0.3,69107f4480db2bdf13b950da3db15040a6939179013a5798da37ab56d258bcee,0665d52496ae28e8d84cd5b8472b46682ca2f01a43dcb8f9e71322021d193c3f
361235,harness,6,base:random-forest,3.0,71f556c218f656e8bec10a376581c67d18c6dc9a34d0295234fb955f69fc194c,12a6a4187e6f00c052919665eff5d8e41a8a8d585160ab7a5d4ac3f28e5db986
361235,harness,7,one:absolute-forest,0.33,4b66b586e60a63454969752263e15851ce15611220e2d4660369d9ef7c3a7371,a848858037efc1a846bc39358ed0f3904c7368f6c6b16388b6ae948ce09ebbee
361235,harness,8,base:random-forest,3.3,a95a7fba60edd716a987425d73421acd487182b65eeb431529c9e07dd736de27,98f0bf037cf4232cfd1e4bb913b450d8fd08960d2474522b5ee3378b6d11e4af
361235,updater,1,one:median-reference,1.0,0e7bccedddab653ff3e040d2e94c3a482d3df78a2e7a91655732bbb42e690107,8e60205ddc11dd565413907a40a8a593392fc86bb1368fd9ce6be76e330b74e5
361235,updater,2,base:linear,1.0,7c4114b0be55bf38c22d073c3fab7268284a21cb5d5348bcfcea49f45f21fc97,5845040f70ad03cdf38d8b6362e028a5c41a29ddd9c28957f8eafaa4ff346ce8
361235,updater,3,base:random-forest,1.0,1f7d2adb92a25a84a864612606d7b02e1d0e9a5df8a8baaf6fd6381f44517c1a,e9c753f9787119201fc1c592a988b8976e0dc62d1acd2bb2dd1868577ffcf722
361235,updater,4,base:rbf-1,1.0,0527da49f6a383a0b6b83694fd56b7645e107c50ceb6d0a7e3fd484cd4f341e0,23685b8c1140ac3757b641823dadaeed0d4c1d5d83ed3d9580db5a3e20ab0157
361235,updater,5,one:absolute-boost,1.0,e0434458662af6df33d20393081a4cad7854a6d4511ee3451ece6afdc7ce1578,48a23bad7a6c3af0b7ade8cb62c5d2d5f8c7afcbb382167fe68544838b7becc3
361235,updater,6,base:random-forest,0.3,6c8fd5ec467a63a72dbc92a69a1306226ab1b0b0d054c6048ea4d71d6ed48928,35b4d2f651bde569852f078546d2b9a9c19416682864113a3737353a837b4611
361235,updater,7,one:absolute-forest,1.0,81d7c9b9d93257c0685ebc745e71fab69966ee3770e964923c232232c0a4e386,4dec2039e766e89f785a368244067e6ec39dce6b4f21d5a87aaf4d64522cf403
361235,updater,8,base:random-forest,0.33,9e431d99c533c725654a391908f74234427805186dfd6f7c6ec8056cc447f535,fcc0da0ebd2712e940dcdcb19238ad80b7f0d6a60bcc914740f2fde7651f912d
361235,fixed,1,one:median-reference,1.0,0e7bccedddab653ff3e040d2e94c3a482d3df78a2e7a91655732bbb42e690107,8e60205ddc11dd565413907a40a8a593392fc86bb1368fd9ce6be76e330b74e5
361235,fixed,2,base:linear,1.0,7c4114b0be55bf38c22d073c3fab7268284a21cb5d5348bcfcea49f45f21fc97,5845040f70ad03cdf38d8b6362e028a5c41a29ddd9c28957f8eafaa4ff346ce8
361235,fixed,3,base:random-forest,1.0,1f7d2adb92a25a84a864612606d7b02e1d0e9a5df8a8baaf6fd6381f44517c1a,e9c753f9787119201fc1c592a988b8976e0dc62d1acd2bb2dd1868577ffcf722
361235,fixed,4,base:rbf-1,1.0,0527da49f6a383a0b6b83694fd56b7645e107c50ceb6d0a7e3fd484cd4f341e0,23685b8c1140ac3757b641823dadaeed0d4c1d5d83ed3d9580db5a3e20ab0157
361235,fixed,5,base:extra-trees,1.0,571e16b0b89ecda914f642d121aae6baa9774232e2384a28b44ad1b288cce23c,6693402674e41a8ab7a643a8e9699f7c645e141ce3644d0798c8c25fbe088cc7
361235,fixed,6,base:hist-boost,1.0,aa0a4c4c1283aaa26df33fe6884e615e323e385fcf5a86255316ab402dbfc5de,c324d40acb1400de8232424b830603bbe0655da3781387d7601b809bc44cd1ad
361235,fixed,7,base:rbf-10,1.0,30db847c789613e7f96c4c4a09446ee88eecb974d2e81083b506921793efb437,13d628007aef6e99b23bbb779ea38ae22e49f3906910542c89aba2a08f66f0a5
361235,fixed,8,base:neighbors-5,1.0,f380a402a7f4afd2a2cdf0c14a61bf584ef18cece40cb3d193e7d49f339a9c21,a4821662078480e2996fa850eaade7e28fb3fa0dd4259ee83a7724c8bad7f947
361235,random,1,one:median-reference,1.0,0e7bccedddab653ff3e040d2e94c3a482d3df78a2e7a91655732bbb42e690107,8e60205ddc11dd565413907a40a8a593392fc86bb1368fd9ce6be76e330b74e5
361235,random,2,base:linear,1.0,7c4114b0be55bf38c22d073c3fab7268284a21cb5d5348bcfcea49f45f21fc97,5845040f70ad03cdf38d8b6362e028a5c41a29ddd9c28957f8eafaa4ff346ce8
361235,random,3,base:random-forest,1.0,1f7d2adb92a25a84a864612606d7b02e1d0e9a5df8a8baaf6fd6381f44517c1a,e9c753f9787119201fc1c592a988b8976e0dc62d1acd2bb2dd1868577ffcf722
361235,random,4,base:rbf-1,1.0,0527da49f6a383a0b6b83694fd56b7645e107c50ceb6d0a7e3fd484cd4f341e0,23685b8c1140ac3757b641823dadaeed0d4c1d5d83ed3d9580db5a3e20ab0157
361235,random,5,two:extra-leaf5,1.81164107,d7d1e417374b269443a589fedccf642523bf996830d525a626dc09ea9407d906,aaaea5e34d1187cd7d6e534f7a746cf2648f975a7a108e9a8201595f3ef8420c
361235,random,6,one:absolute-boost,0.33410788,475a336059e2f33442451089d4412e4c8358c2ec642108af0e95655f0b573f07,59c9637d7edd467c5f56c75f2ac281e3a4b4566e08bee19f03ea654056c80568
361235,random,7,two:log-svr,9.38397621,65881b01b273d5cf3a7db536b8b46d23a6e1856c1f33264043e1325c8c1932c9,86b4d0983bffc6bddb96fce451a38401f71f6ef4719452650ac01eac7930e6cb
361235,random,8,base:neighbors-5,6.11822277,8968e2f03eb7db9cfc76f45d42f1b8d0b41fe8ceae841336929c0da1f3b81c74,0930699ad767f937270d2227cf94cfc19dce727bd6ddda4eb646c210ea692239
361235,memory,1,one:median-reference,1.0,0e7bccedddab653ff3e040d2e94c3a482d3df78a2e7a91655732bbb42e690107,8e60205ddc11dd565413907a40a8a593392fc86bb1368fd9ce6be76e330b74e5
361235,memory,2,base:linear,1.0,7c4114b0be55bf38c22d073c3fab7268284a21cb5d5348bcfcea49f45f21fc97,5845040f70ad03cdf38d8b6362e028a5c41a29ddd9c28957f8eafaa4ff346ce8
361235,memory,3,base:random-forest,1.0,1f7d2adb92a25a84a864612606d7b02e1d0e9a5df8a8baaf6fd6381f44517c1a,e9c753f9787119201fc1c592a988b8976e0dc62d1acd2bb2dd1868577ffcf722
361235,memory,4,base:rbf-1,1.0,0527da49f6a383a0b6b83694fd56b7645e107c50ceb6d0a7e3fd484cd4f341e0,23685b8c1140ac3757b641823dadaeed0d4c1d5d83ed3d9580db5a3e20ab0157
361235,memory,5,one:absolute-boost,1.0,e0434458662af6df33d20393081a4cad7854a6d4511ee3451ece6afdc7ce1578,48a23bad7a6c3af0b7ade8cb62c5d2d5f8c7afcbb382167fe68544838b7becc3
361235,memory,6,one:absolute-forest,1.0,81d7c9b9d93257c0685ebc745e71fab69966ee3770e964923c232232c0a4e386,4dec2039e766e89f785a368244067e6ec39dce6b4f21d5a87aaf4d64522cf403
361235,memory,7,two:log-svr,1.0,85545796d301fcd1524cf4c2da9ffa968e76b5402a1792e632a0b84d51b64ca8,a16b22e23b80a7cb3cacdc2770bc43cf3a0799d30b5c81735132a115b2e624fd
361235,memory,8,one:svr-tight,1.0,7c6ee5d504139eedc02b2909b32ef9ca78215625c7546d70235ad9e17f79ef2a,7121b2ce49307940769e08e46768930ead7cfe425ef78ddabc2cf9c5235021bf
361237,harness,1,one:median-reference,1.0,1cbcb4451aa8830ba1b34b2d5485f5cbecf7fe6ccfa65ee10e3956047a05c406,8e60205ddc11dd565413907a40a8a593392fc86bb1368fd9ce6be76e330b74e5
361237,harness,2,base:linear,1.0,f58c9589bfe879618496366e884e579e7af5ac688f65edaf8eda0d3c07c08371,5845040f70ad03cdf38d8b6362e028a5c41a29ddd9c28957f8eafaa4ff346ce8
361237,harness,3,base:random-forest,1.0,71bc2da718055768140b625be782e2f82fa6187559625c790b859d0880333d30,e9c753f9787119201fc1c592a988b8976e0dc62d1acd2bb2dd1868577ffcf722
361237,harness,4,base:rbf-1,1.0,3ae665d567d7b9f74f81e2ed61012e2bd9260b4a18f0e32272451ace5df28c26,23685b8c1140ac3757b641823dadaeed0d4c1d5d83ed3d9580db5a3e20ab0157
361237,harness,5,one:absolute-forest,0.3,6da34f80e5283d28f8e5a2d9edfedf9950eee7a6227087b7db944e6602d4515f,0665d52496ae28e8d84cd5b8472b46682ca2f01a43dcb8f9e71322021d193c3f
361237,harness,6,base:random-forest,3.0,f5852765692f5ba4de41dc3c3f6bebf45d260363df57f0b1c7efb57cce321ca3,12a6a4187e6f00c052919665eff5d8e41a8a8d585160ab7a5d4ac3f28e5db986
361237,harness,7,one:absolute-forest,0.33,31d08f6cbaa9f6630b9e77a61d4125b36fa894bcd0ab481d0e8cc8c49fa0d692,a848858037efc1a846bc39358ed0f3904c7368f6c6b16388b6ae948ce09ebbee
361237,harness,8,base:random-forest,3.3,5d04eabd4560c6ff45b57d4bc42e57ed59dc1c9a680f905d9d133c5678a0a83a,98f0bf037cf4232cfd1e4bb913b450d8fd08960d2474522b5ee3378b6d11e4af
361237,updater,1,one:median-reference,1.0,1cbcb4451aa8830ba1b34b2d5485f5cbecf7fe6ccfa65ee10e3956047a05c406,8e60205ddc11dd565413907a40a8a593392fc86bb1368fd9ce6be76e330b74e5
361237,updater,2,base:linear,1.0,f58c9589bfe879618496366e884e579e7af5ac688f65edaf8eda0d3c07c08371,5845040f70ad03cdf38d8b6362e028a5c41a29ddd9c28957f8eafaa4ff346ce8
361237,updater,3,base:random-forest,1.0,71bc2da718055768140b625be782e2f82fa6187559625c790b859d0880333d30,e9c753f9787119201fc1c592a988b8976e0dc62d1acd2bb2dd1868577ffcf722
361237,updater,4,base:rbf-1,1.0,3ae665d567d7b9f74f81e2ed61012e2bd9260b4a18f0e32272451ace5df28c26,23685b8c1140ac3757b641823dadaeed0d4c1d5d83ed3d9580db5a3e20ab0157
361237,updater,5,one:absolute-boost,1.0,170f9ac583b6af7a76d65a9c69e25c50178e222396342c5fde9d0d506af231dd,48a23bad7a6c3af0b7ade8cb62c5d2d5f8c7afcbb382167fe68544838b7becc3
361237,updater,6,base:random-forest,0.3,8e4b4f00d190a12aed87c2da2feda0ba94764b0df8d4e30ca793cfe908d4085a,35b4d2f651bde569852f078546d2b9a9c19416682864113a3737353a837b4611
361237,updater,7,one:absolute-forest,1.0,593122efb4ece444d389eb4a5bcb53f5d8bee1d1571e743f8ed92a813ed4807a,4dec2039e766e89f785a368244067e6ec39dce6b4f21d5a87aaf4d64522cf403
361237,updater,8,one:absolute-boost,0.3,05d2d5642c401920087fc10ccd46fd6b7ee4cfbe8bba3c39043dc332c7f968b8,5728a1516e356efb1332f580566390bddc59cdc5f32f327543920cb3d85807b2
361237,fixed,1,one:median-reference,1.0,1cbcb4451aa8830ba1b34b2d5485f5cbecf7fe6ccfa65ee10e3956047a05c406,8e60205ddc11dd565413907a40a8a593392fc86bb1368fd9ce6be76e330b74e5
361237,fixed,2,base:linear,1.0,f58c9589bfe879618496366e884e579e7af5ac688f65edaf8eda0d3c07c08371,5845040f70ad03cdf38d8b6362e028a5c41a29ddd9c28957f8eafaa4ff346ce8
361237,fixed,3,base:random-forest,1.0,71bc2da718055768140b625be782e2f82fa6187559625c790b859d0880333d30,e9c753f9787119201fc1c592a988b8976e0dc62d1acd2bb2dd1868577ffcf722
361237,fixed,4,base:rbf-1,1.0,3ae665d567d7b9f74f81e2ed61012e2bd9260b4a18f0e32272451ace5df28c26,23685b8c1140ac3757b641823dadaeed0d4c1d5d83ed3d9580db5a3e20ab0157
361237,fixed,5,base:extra-trees,1.0,8b66039ae0e16e3db458d33ca38a53b6f9d4cd111b003475a00ced7650979379,6693402674e41a8ab7a643a8e9699f7c645e141ce3644d0798c8c25fbe088cc7
361237,fixed,6,base:hist-boost,1.0,6e6414e314b83e8e88b6082fda254c727f8d249d18ead1eaaa6ab9034cb6ff10,c324d40acb1400de8232424b830603bbe0655da3781387d7601b809bc44cd1ad
361237,fixed,7,base:rbf-10,1.0,6d193503aa4cf02239bab000c31ace13869142359dfc07c5a89a512a6a39b8ca,13d628007aef6e99b23bbb779ea38ae22e49f3906910542c89aba2a08f66f0a5
361237,fixed,8,base:neighbors-5,1.0,871b7dffc0996551a213c37fb8f0ac9f95d44d60f014ee340282cafbe9f4c708,a4821662078480e2996fa850eaade7e28fb3fa0dd4259ee83a7724c8bad7f947
361237,random,1,one:median-reference,1.0,1cbcb4451aa8830ba1b34b2d5485f5cbecf7fe6ccfa65ee10e3956047a05c406,8e60205ddc11dd565413907a40a8a593392fc86bb1368fd9ce6be76e330b74e5
361237,random,2,base:linear,1.0,f58c9589bfe879618496366e884e579e7af5ac688f65edaf8eda0d3c07c08371,5845040f70ad03cdf38d8b6362e028a5c41a29ddd9c28957f8eafaa4ff346ce8
361237,random,3,base:random-forest,1.0,71bc2da718055768140b625be782e2f82fa6187559625c790b859d0880333d30,e9c753f9787119201fc1c592a988b8976e0dc62d1acd2bb2dd1868577ffcf722
361237,random,4,base:rbf-1,1.0,3ae665d567d7b9f74f81e2ed61012e2bd9260b4a18f0e32272451ace5df28c26,23685b8c1140ac3757b641823dadaeed0d4c1d5d83ed3d9580db5a3e20ab0157
361237,random,5,two:quadratic-splines,0.13144368,92e41980e857592b1e1142019abed6f0495b8e6a5e575e1c9178a40f33a60b6d,e13301455f606daac2c7f22615b305fa3fcbc2080d83436e925bc57dd7167f61
361237,random,6,base:neighbors-5,1.82180264,afdcb55a4b1c8c4cf28b2fa03f89bd74fefea05959029766c243eddbe5a77da7,64296b8b897f0aa617e6ec135e209f80ec009607beb5d3970ee0d12a64ec020b
361237,random,7,two:log-svr,0.95425647,d7a74e4aa3b032b3df820b5c7d36e93a591dd099ccd80aab99ba13933c17fac9,b63f12f1bbc9ead29475a6b637d367ad5cbd2f88613f6c64fd8699ed85b894cc
361237,random,8,one:svr-tight,0.21993384,932226a588da4976dfc41de191c641473f38016bd69a393c95ae4eacd3b78bb0,bd3dc7eb774eeeef2d7e189bbfcee524c29120db638dd8eeba7b545335e6b07a
361237,memory,1,one:median-reference,1.0,1cbcb4451aa8830ba1b34b2d5485f5cbecf7fe6ccfa65ee10e3956047a05c406,8e60205ddc11dd565413907a40a8a593392fc86bb1368fd9ce6be76e330b74e5
361237,memory,2,base:linear,1.0,f58c9589bfe879618496366e884e579e7af5ac688f65edaf8eda0d3c07c08371,5845040f70ad03cdf38d8b6362e028a5c41a29ddd9c28957f8eafaa4ff346ce8
361237,memory,3,base:random-forest,1.0,71bc2da718055768140b625be782e2f82fa6187559625c790b859d0880333d30,e9c753f9787119201fc1c592a988b8976e0dc62d1acd2bb2dd1868577ffcf722
361237,memory,4,base:rbf-1,1.0,3ae665d567d7b9f74f81e2ed61012e2bd9260b4a18f0e32272451ace5df28c26,23685b8c1140ac3757b641823dadaeed0d4c1d5d83ed3d9580db5a3e20ab0157
361237,memory,5,one:absolute-boost,1.0,170f9ac583b6af7a76d65a9c69e25c50178e222396342c5fde9d0d506af231dd,48a23bad7a6c3af0b7ade8cb62c5d2d5f8c7afcbb382167fe68544838b7becc3
361237,memory,6,one:absolute-forest,1.0,593122efb4ece444d389eb4a5bcb53f5d8bee1d1571e743f8ed92a813ed4807a,4dec2039e766e89f785a368244067e6ec39dce6b4f21d5a87aaf4d64522cf403
361237,memory,7,two:log-svr,1.0,a189531124dabd520460b0752df9e44236cb478f24c5f7cdb4d35db4258f169a,a16b22e23b80a7cb3cacdc2770bc43cf3a0799d30b5c81735132a115b2e624fd
361237,memory,8,one:svr-tight,1.0,5903a8117d42dd6761c339b3aacbf84b25f782d98c34ad91420f513891c5e854,7121b2ce49307940769e08e46768930ead7cfe425ef78ddabc2cf9c5235021bf
361237,parent,1,one:median-reference,1.0,1cbcb4451aa8830ba1b34b2d5485f5cbecf7fe6ccfa65ee10e3956047a05c406,8e60205ddc11dd565413907a40a8a593392fc86bb1368fd9ce6be76e330b74e5
361237,parent,2,base:linear,1.0,f58c9589bfe879618496366e884e579e7af5ac688f65edaf8eda0d3c07c08371,5845040f70ad03cdf38d8b6362e028a5c41a29ddd9c28957f8eafaa4ff346ce8
361237,parent,3,base:random-forest,1.0,71bc2da718055768140b625be782e2f82fa6187559625c790b859d0880333d30,e9c753f9787119201fc1c592a988b8976e0dc62d1acd2bb2dd1868577ffcf722
361237,parent,4,base:rbf-1,1.0,3ae665d567d7b9f74f81e2ed61012e2bd9260b4a18f0e32272451ace5df28c26,23685b8c1140ac3757b641823dadaeed0d4c1d5d83ed3d9580db5a3e20ab0157
361237,parent,5,base:random-forest,0.3,8e4b4f00d190a12aed87c2da2feda0ba94764b0df8d4e30ca793cfe908d4085a,35b4d2f651bde569852f078546d2b9a9c19416682864113a3737353a837b4611
361237,parent,6,base:random-forest,3.0,f5852765692f5ba4de41dc3c3f6bebf45d260363df57f0b1c7efb57cce321ca3,12a6a4187e6f00c052919665eff5d8e41a8a8d585160ab7a5d4ac3f28e5db986
361237,parent,7,base:random-forest,0.33,1e6730b1a2e50a23e0dd63c2574e23e64e91ad39bb4f6e598a979379d3711468,fcc0da0ebd2712e940dcdcb19238ad80b7f0d6a60bcc914740f2fde7651f912d
361237,parent,8,base:random-forest,3.3,5d04eabd4560c6ff45b57d4bc42e57ed59dc1c9a680f905d9d133c5678a0a83a,98f0bf037cf4232cfd1e4bb913b450d8fd08960d2474522b5ee3378b6d11e4af
361247,updater,1,one:median-reference,1.0,f4907da5a37c849173a81898d049f8fe464b2d7f5612f459800ee9ca985d6e57,8e60205ddc11dd565413907a40a8a593392fc86bb1368fd9ce6be76e330b74e5
361247,updater,2,base:linear,1.0,00f600012e2e89222e69ce88a2867680be8c42687235fe3d6c72fe2d259f5de5,5845040f70ad03cdf38d8b6362e028a5c41a29ddd9c28957f8eafaa4ff346ce8
361247,updater,3,base:random-forest,1.0,f429e3f438ea30aba07e8c96ba8ada010fc574ada764ec1615ba6194f3d8b59e,e9c753f9787119201fc1c592a988b8976e0dc62d1acd2bb2dd1868577ffcf722
361247,updater,4,base:rbf-1,1.0,798b28288cefd72ae70152dd046b1cbc20b5e98db4d1f704abd9495c489d6419,23685b8c1140ac3757b641823dadaeed0d4c1d5d83ed3d9580db5a3e20ab0157
361247,updater,5,one:absolute-boost,1.0,0f10b3f959b780abef68a63e6e91b70b2bada8161465365c7153ad08940150af,48a23bad7a6c3af0b7ade8cb62c5d2d5f8c7afcbb382167fe68544838b7becc3
361247,updater,6,base:random-forest,3.0,8ed7bb29d085f46b7b8c40d82151e5c2e9fcabdc746b92c3df7c99833c4b95b5,12a6a4187e6f00c052919665eff5d8e41a8a8d585160ab7a5d4ac3f28e5db986
361247,updater,7,one:absolute-forest,1.0,a844bd6af5e76f007ca0d9f0b9962d53f4cd5f9d44a220625688959f46a465d7,4dec2039e766e89f785a368244067e6ec39dce6b4f21d5a87aaf4d64522cf403
361247,updater,8,base:random-forest,3.3,770b59e6e3e756376769eddae0c2cfba3a7a06a643b80ce66189ab1daddd1dbc,98f0bf037cf4232cfd1e4bb913b450d8fd08960d2474522b5ee3378b6d11e4af
361247,fixed,1,one:median-reference,1.0,f4907da5a37c849173a81898d049f8fe464b2d7f5612f459800ee9ca985d6e57,8e60205ddc11dd565413907a40a8a593392fc86bb1368fd9ce6be76e330b74e5
361247,fixed,2,base:linear,1.0,00f600012e2e89222e69ce88a2867680be8c42687235fe3d6c72fe2d259f5de5,5845040f70ad03cdf38d8b6362e028a5c41a29ddd9c28957f8eafaa4ff346ce8
361247,fixed,3,base:random-forest,1.0,f429e3f438ea30aba07e8c96ba8ada010fc574ada764ec1615ba6194f3d8b59e,e9c753f9787119201fc1c592a988b8976e0dc62d1acd2bb2dd1868577ffcf722
361247,fixed,4,base:rbf-1,1.0,798b28288cefd72ae70152dd046b1cbc20b5e98db4d1f704abd9495c489d6419,23685b8c1140ac3757b641823dadaeed0d4c1d5d83ed3d9580db5a3e20ab0157
361247,fixed,5,base:extra-trees,1.0,c12ba61d9f63b6ab3c511ab780e69bb0163ed3d57e09229203586961a964a59d,6693402674e41a8ab7a643a8e9699f7c645e141ce3644d0798c8c25fbe088cc7
361247,fixed,6,base:hist-boost,1.0,d724c0ad838e95ae508915cfaee62e9647075ba7b8ddf1372c6a64d696db7a3b,c324d40acb1400de8232424b830603bbe0655da3781387d7601b809bc44cd1ad
361247,fixed,7,base:rbf-10,1.0,90051134b228ede09cb95bd4ee8c465fde9bff9c02ba3afaca483625421b6549,13d628007aef6e99b23bbb779ea38ae22e49f3906910542c89aba2a08f66f0a5
361247,fixed,8,base:neighbors-5,1.0,952c14ed33c694def0610ad8f9d3df4826bd8b0b6f91cc6242fd8cab96e6046a,a4821662078480e2996fa850eaade7e28fb3fa0dd4259ee83a7724c8bad7f947
361247,random,1,one:median-reference,1.0,f4907da5a37c849173a81898d049f8fe464b2d7f5612f459800ee9ca985d6e57,8e60205ddc11dd565413907a40a8a593392fc86bb1368fd9ce6be76e330b74e5
361247,random,2,base:linear,1.0,00f600012e2e89222e69ce88a2867680be8c42687235fe3d6c72fe2d259f5de5,5845040f70ad03cdf38d8b6362e028a5c41a29ddd9c28957f8eafaa4ff346ce8
361247,random,3,base:random-forest,1.0,f429e3f438ea30aba07e8c96ba8ada010fc574ada764ec1615ba6194f3d8b59e,e9c753f9787119201fc1c592a988b8976e0dc62d1acd2bb2dd1868577ffcf722
361247,random,4,base:rbf-1,1.0,798b28288cefd72ae70152dd046b1cbc20b5e98db4d1f704abd9495c489d6419,23685b8c1140ac3757b641823dadaeed0d4c1d5d83ed3d9580db5a3e20ab0157
361247,random,5,base:linear,0.26406706,601f6e623caf0b9fb6c76c5bc71f1232603e1c9ed6920642b8a624df730f1e65,1926b17f331a86d58fa91518b51c905d02ce69f92a793d3830fc9cc45e1bc703
361247,random,6,two:log-boost,0.13068133,f9321330ee5a8973ae4dd4448f779066354be36f5b125e156ea2f46ecd838930,455fe908dbdd922cd1236f41bfd7264bac88b7b3b21e8c3897bcc43c741fbbdf
361247,random,7,one:absolute-boost,7.04446787,2ae46252871360cbea273a26fba415fa1dac6e239813447be0eb250a31b139b6,83204edc1294c8c788c38cbdaffdfb8e58ea3bf3ca47f339c3a0d9a1c8b9fdcc
361247,random,8,one:absolute-boost,8.06034027,91f5d3d7197436b690d8c61e2d776da8ddd0202b73571d0a2635011c179cffe4,9d83bca38195a1bfa673d916e0b97f39a5180401aec8740088a0f5b2129d832a
